Name,Status,Seller_Level,Location,Price,Stars,Ratings,URL,Thumbnails Image,UPC,Images
1909 D GOLD US $5 DOLLAR INDIAN HEAD HALF EAGLE COIN DENVER MINT,,,From United States,$659.00,Wat,0,https://www.ebay.com/itm/1909-D-GOLD-US-5-DOLLAR-INDIAN-HEAD-HALF-EAGLE-COIN-DENVER-MINT/333809033500?hash=item4db891a11c:g:ez8AAOSwNmVfxWBB,https://i.ebayimg.com/thumbs/images/g/ez8AAOSwNmVfxWBB/s-l225.jpg,,"https://i.ebayimg.com/images/g/ez8AAOSwNmVfxWBB/s-l64.jpg,https://i.ebayimg.com/images/g/i1cAAOSwETVfxWBE/s-l64.jpg,https://i.ebayimg.com/images/g/ez8AAOSwNmVfxWBB/s-l64.jpg,https://i.ebayimg.com/images/g/i1cAAOSwETVfxWBE/s-l64.jpg"
1907 GOLD LIBERTY HEAD $2.5 QUARTER EAGLE COIN NGC MINT STATE 64,,,From United States,$725.00,Wat,0,https://www.ebay.com/itm/1907-GOLD-LIBERTY-HEAD-2-5-QUARTER-EAGLE-COIN-NGC-MINT-STATE-64/224134703254?hash=item342f782896:g:wMoAAOSwfQlfRtJ-,https://i.ebayimg.com/thumbs/images/g/wMoAAOSwfQlfRtJ-/s-l225.jpg,,"https://i.ebayimg.com/images/g/wMoAAOSwfQlfRtJ-/s-l64.jpg,https://i.ebayimg.com/images/g/TZoAAOSw47FfRtJu/s-l64.jpg,https://i.ebayimg.com/images/g/D7oAAOSw2vBfRtJz/s-l64.jpg,https://i.ebayimg.com/images/g/7~cAAOSwwW9fRtJ4/s-l64.jpg,https://i.ebayimg.com/images/g/wMoAAOSwfQlfRtJ-/s-l64.jpg,https://i.ebayimg.com/images/g/TZoAAOSw47FfRtJu/s-l64.jpg,https://i.ebayimg.com/images/g/D7oAAOSw2vBfRtJz/s-l64.jpg,https://i.ebayimg.com/images/g/7~cAAOSwwW9fRtJ4/s-l64.jpg"
1903 $2 1/2 PCGS MS67+ ex: D.L. Hansen - Silky Gem - 2.50 Liberty Gold Coin,,,From United States,"$4,630.00",Wat,0,https://www.ebay.com/itm/1903-2-1-2-PCGS-MS67-ex-D-L-Hansen-Silky-Gem-2-50-Liberty-Gold-Coin/353318691584?hash=item52436f6300:g:Cm0AAOSwkfRd7Gmd,https://i.ebayimg.com/thumbs/images/g/Cm0AAOSwkfRd7Gmd/s-l225.jpg,,"https://i.ebayimg.com/images/g/Cm0AAOSwkfRd7Gmd/s-l64.jpg,https://i.ebayimg.com/images/g/eYMAAOSw~5Rd7Gmc/s-l64.jpg,https://i.ebayimg.com/images/g/JYEAAOSw0wld7Gmg/s-l64.jpg,https://i.ebayimg.com/images/g/2OkAAOSww5Zd7Gme/s-l64.jpg,https://i.ebayimg.com/images/g/Cm0AAOSwkfRd7Gmd/s-l64.jpg,https://i.ebayimg.com/images/g/eYMAAOSw~5Rd7Gmc/s-l64.jpg,https://i.ebayimg.com/images/g/JYEAAOSw0wld7Gmg/s-l64.jpg,https://i.ebayimg.com/images/g/2OkAAOSww5Zd7Gme/s-l64.jpg"
1925 D  PCGS  64 CAC Stickers  Gold $2.50 Indian FREE SHIPPING US ONLY,,Top Rated Plus,From United States,$839.95,Tim,0,https://www.ebay.com/itm/1925-D-PCGS-64-CAC-Stickers-Gold-2-50-Indian-FREE-SHIPPING-US-ONLY/164600464955?hash=item2652f3c63b:g:q30AAOSwNX1e1awx,https://i.ebayimg.com/thumbs/images/g/q30AAOSwNX1e1awx/s-l225.jpg,,
"1872-S $2.50 LIBERTY GOLD QUARTER EAGLE PCGS VF-35, TOUGH DATE!",,Top Rated Plus,From United States,$595.00,Wat,0,https://www.ebay.com/itm/1872-S-2-50-LIBERTY-GOLD-QUARTER-EAGLE-PCGS-VF-35-TOUGH-DATE/333829598354?hash=item4db9cb6c92:g:~~AAAOSwa9Nf3QXT,https://i.ebayimg.com/thumbs/images/g/~~AAAOSwa9Nf3QXT/s-l225.jpg,,"https://i.ebayimg.com/images/g/~~AAAOSwa9Nf3QXT/s-l64.jpg,https://i.ebayimg.com/images/g/pmsAAOSwyFBf3QXU/s-l64.jpg,https://i.ebayimg.com/images/g/EboAAOSw3o5f3QXW/s-l64.jpg,https://i.ebayimg.com/images/g/~~AAAOSwa9Nf3QXT/s-l64.jpg,https://i.ebayimg.com/images/g/pmsAAOSwyFBf3QXU/s-l64.jpg,https://i.ebayimg.com/images/g/EboAAOSw3o5f3QXW/s-l64.jpg"
1846-D $2 1/2 PCGS/CAC VF30 - Scarce Low Mintage Dahlonega Gold,,,From United States,"$2,770.00",Wat,0,https://www.ebay.com/itm/1846-D-2-1-2-PCGS-CAC-VF30-Scarce-Low-Mintage-Dahlonega-Gold/393059048938?hash=item5b84251dea:g:cCIAAOSwhu5fOICo,https://i.ebayimg.com/thumbs/images/g/cCIAAOSwhu5fOICo/s-l225.jpg,,"https://i.ebayimg.com/images/g/cCIAAOSwhu5fOICo/s-l64.jpg,https://i.ebayimg.com/images/g/xQ4AAOSwyjlfOICn/s-l64.jpg,https://i.ebayimg.com/images/g/ZvgAAOSwLfpfOICr/s-l64.jpg,https://i.ebayimg.com/images/g/~UoAAOSwOCdfOICq/s-l64.jpg,https://i.ebayimg.com/images/g/cCIAAOSwhu5fOICo/s-l64.jpg,https://i.ebayimg.com/images/g/xQ4AAOSwyjlfOICn/s-l64.jpg,https://i.ebayimg.com/images/g/ZvgAAOSwLfpfOICr/s-l64.jpg,https://i.ebayimg.com/images/g/~UoAAOSwOCdfOICq/s-l64.jpg"
1856-C $2 1/2 PCGS AU53 - Tough Branch Mint Issue - 2.50 Liberty Gold Coin,,,From United States,"$4,920.00",Wat,0,https://www.ebay.com/itm/1856-C-2-1-2-PCGS-AU53-Tough-Branch-Mint-Issue-2-50-Liberty-Gold-Coin/393064286287?hash=item5b8475084f:g:evAAAOSwVZxf3rc6,https://i.ebayimg.com/thumbs/images/g/evAAAOSwVZxf3rc6/s-l225.jpg,,"https://i.ebayimg.com/images/g/evAAAOSwVZxf3rc6/s-l64.jpg,https://i.ebayimg.com/images/g/sYUAAOSwPk5f3rc5/s-l64.jpg,https://i.ebayimg.com/images/g/h20AAOSwJfRf3rc9/s-l64.jpg,https://i.ebayimg.com/images/g/UPYAAOSwct5f3rc7/s-l64.jpg,https://i.ebayimg.com/images/g/evAAAOSwVZxf3rc6/s-l64.jpg,https://i.ebayimg.com/images/g/sYUAAOSwPk5f3rc5/s-l64.jpg,https://i.ebayimg.com/images/g/h20AAOSwJfRf3rc9/s-l64.jpg,https://i.ebayimg.com/images/g/UPYAAOSwct5f3rc7/s-l64.jpg"
1902 GOLD US $2 1/2 LIBERTY HEAD QUARTER EAGLE $2.5 COIN NGC MINT STATE 63,,,From United States,$695.00,Wat,0,https://www.ebay.com/itm/1902-GOLD-US-2-1-2-LIBERTY-HEAD-QUARTER-EAGLE-2-5-COIN-NGC-MINT-STATE-63/224191928158?hash=item3432e1575e:g:KHEAAOSwnB1fhNGU,https://i.ebayimg.com/thumbs/images/g/KHEAAOSwnB1fhNGU/s-l225.jpg,,"https://i.ebayimg.com/images/g/KHEAAOSwnB1fhNGU/s-l64.jpg,https://i.ebayimg.com/images/g/fAEAAOSwYSZfhNGY/s-l64.jpg,https://i.ebayimg.com/images/g/qO4AAOSwFQ5fhNGd/s-l64.jpg,https://i.ebayimg.com/images/g/KHEAAOSwnB1fhNGU/s-l64.jpg,https://i.ebayimg.com/images/g/fAEAAOSwYSZfhNGY/s-l64.jpg,https://i.ebayimg.com/images/g/qO4AAOSwFQ5fhNGd/s-l64.jpg"
1913 $2.5 Quarter Eagle Polished,,,From United States,$369.99,Wat,0,https://www.ebay.com/itm/1913-2-5-Quarter-Eagle-Polished/303821110745?hash=item46bd263dd9:g:ZxwAAOSwGb9f4gUb,https://i.ebayimg.com/thumbs/images/g/ZxwAAOSwGb9f4gUb/s-l225.jpg,,"https://i.ebayimg.com/images/g/ZxwAAOSwGb9f4gUb/s-l64.jpg,https://i.ebayimg.com/images/g/DioAAOSwDcNf4gUv/s-l64.jpg,https://i.ebayimg.com/images/g/ZxwAAOSwGb9f4gUb/s-l64.jpg,https://i.ebayimg.com/images/g/DioAAOSwDcNf4gUv/s-l64.jpg"
1912 $2.50 INDIAN GOLD - PCGS MS-61,,,From United States,$495.00,Wat,0,https://www.ebay.com/itm/1912-2-50-INDIAN-GOLD-PCGS-MS-61/333812552173?hash=item4db8c751ed:g:qQwAAOSwuThfyPgy,https://i.ebayimg.com/thumbs/images/g/qQwAAOSwuThfyPgy/s-l225.jpg,,"https://i.ebayimg.com/images/g/qQwAAOSwuThfyPgy/s-l64.jpg,https://i.ebayimg.com/images/g/bzwAAOSwpsJfyPfH/s-l64.jpg,https://i.ebayimg.com/images/g/HN0AAOSwX1xfyPfJ/s-l64.jpg,https://i.ebayimg.com/images/g/qQwAAOSwuThfyPgy/s-l64.jpg,https://i.ebayimg.com/images/g/bzwAAOSwpsJfyPfH/s-l64.jpg,https://i.ebayimg.com/images/g/HN0AAOSwX1xfyPfJ/s-l64.jpg"
