,name,price,status,date,images
58,['2018 Prizm Luka Doncic PSA 10'],"['$1,595']",Sold,"['Jan', '14,', '2021']","['https://s3.amazonaws.com/s3.myslabs.com/media/XHLBLAY_1610551816_front.jpeg', 'https://s3.amazonaws.com/s3.myslabs.com/media/XHLBLAY_1610551816_back.jpeg']"
59,['Tyler Herro '],['$265'],Sold,"['Jan', '13,', '2021']","['https://s3.amazonaws.com/s3.myslabs.com/media/ABDWFEN_1610549939_front.jpeg', 'https://s3.amazonaws.com/s3.myslabs.com/media/ABDWFEN_1610549939_back.jpeg']"
60,['2019-20 Prizm Coby White PSA 10 Base'],['$195'],Sold,"['Jan', '13,', '2021']","['https://s3.amazonaws.com/s3.myslabs.com/media/YDLEFPH_1610525521_front.jpeg', 'https://s3.amazonaws.com/s3.myslabs.com/media/YDLEFPH_1610525521_back.jpeg']"
61,['2019 PANINI DONRUSS OPTIC TYLER HERRO #172'],['$60'],Sold,"['Jan', '13,', '2021']","['https://s3.amazonaws.com/s3.myslabs.com/media/YAJDMDI_1610524294_front.jpeg', 'https://s3.amazonaws.com/s3.myslabs.com/media/YAJDMDI_1610524294_back.jpeg']"
62,['Tyler Herro'],['$265'],Sold,"['Jan', '13,', '2021']","['https://s3.amazonaws.com/s3.myslabs.com/media/KUIIFNN_1610514103_front.jpeg', 'https://s3.amazonaws.com/s3.myslabs.com/media/KUIIFNN_1610514103_back.jpeg']"
63,['Ja Morant'],['$295'],Sold,"['Jan', '13,', '2021']",[]
64,['LeBron James'],['$95'],Sold,"['Jan', '13,', '2021']","['https://s3.amazonaws.com/s3.myslabs.com/media/YMITKNT_1610511413_front.jpeg', 'https://s3.amazonaws.com/s3.myslabs.com/media/YMITKNT_1610511413_back.jpeg']"
65,['Luka Doncic'],['$800'],Sold,"['Jan', '14,', '2021']","['https://s3.amazonaws.com/s3.myslabs.com/media/CVCZNIR_1610511115_front.jpeg', 'https://s3.amazonaws.com/s3.myslabs.com/media/CVCZNIR_1610511115_back.jpeg']"
66,['2018-19 Prizm Jaren Jackson Jr. RC Pink Ice PSA 9'],['$65'],Sold,"['Jan', '13,', '2021']","['https://s3.amazonaws.com/s3.myslabs.com/media/UGKFNEG_1610511135_front.jpeg', 'https://s3.amazonaws.com/s3.myslabs.com/media/UGKFNEG_1610511135_back.jpeg']"
67,['2019-20 Prizm Nic Claxton RC Silver PSA 10'],['$125'],Sold,"['Jan', '13,', '2021']","['https://s3.amazonaws.com/s3.myslabs.com/media/PZCHKSH_1610510996_front.jpeg', 'https://s3.amazonaws.com/s3.myslabs.com/media/PZCHKSH_1610510996_back.jpeg']"
68,['Deshaun Watson'],"['$1,200']",Sold,"['Jan', '13,', '2021']","['https://s3.amazonaws.com/s3.myslabs.com/media/RJZMVFP_1610509954_front.jpeg', 'https://s3.amazonaws.com/s3.myslabs.com/media/RJZMVFP_1610509954_back.jpeg']"
69,['Clayton Kershaw'],['$700'],Sold,"['Jan', '13,', '2021']","['https://s3.amazonaws.com/s3.myslabs.com/media/JRDOZEM_1610509216_front.jpeg', 'https://s3.amazonaws.com/s3.myslabs.com/media/JRDOZEM_1610509216_back.jpeg']"
70,['Lonnie walker silver prizm rc psa 10 '],['$285'],Sold,"['Jan', '13,', '2021']","['https://s3.amazonaws.com/s3.myslabs.com/media/OYRDOZO_1610505957_front.jpeg', 'https://s3.amazonaws.com/s3.myslabs.com/media/OYRDOZO_1610505957_back.jpeg']"
71,['LAMAR JACKSON 2018 Panini Phoenix /149 Purple Prizm Refractor Rookie PSA 10 #112'],['$350'],Sold,"['Jan', '13,', '2021']","['https://s3.amazonaws.com/s3.myslabs.com/media/FIUSKJO_1610500792_front.jpeg', 'https://s3.amazonaws.com/s3.myslabs.com/media/FIUSKJO_1610500792_back.jpeg']"
72,['Tom Brady'],['$100'],Sold,"['Jan', '13,', '2021']","['https://s3.amazonaws.com/s3.myslabs.com/media/WNUFSGW_1610499184_front.jpeg', 'https://s3.amazonaws.com/s3.myslabs.com/media/WNUFSGW_1610499184_back.jpeg']"
73,['Bo Bichette'],['$400'],Sold,"['Jan', '13,', '2021']","['https://s3.amazonaws.com/s3.myslabs.com/media/LUNGHPY_1610495984_front.jpeg', 'https://s3.amazonaws.com/s3.myslabs.com/media/LUNGHPY_1610495984_back.jpeg']"
74,['Cody Bellinger PSA 10 HMT10'],['$190'],Sold,"['Jan', '13,', '2021']","['https://s3.amazonaws.com/s3.myslabs.com/media/OKZGDRF_1610495305_front.jpeg', 'https://s3.amazonaws.com/s3.myslabs.com/media/OKZGDRF_1610495305_back.jpeg']"
75,['Manny Machado'],['$50'],Sold,"['Jan', '13,', '2021']","['https://s3.amazonaws.com/s3.myslabs.com/media/JYRUYUW_1610495287_front.jpeg', 'https://s3.amazonaws.com/s3.myslabs.com/media/JYRUYUW_1610495287_back.jpeg']"
76,['Deshaun Watson'],['$265'],Sold,"['Jan', '14,', '2021']","['https://s3.amazonaws.com/s3.myslabs.com/media/LLWWKBD_1610491656_front.jpeg', 'https://s3.amazonaws.com/s3.myslabs.com/media/LLWWKBD_1610491656_back.jpeg']"
77,['Ronald Acuna Jr. '],['$105'],Sold,"['Jan', '14,', '2021']","['https://s3.amazonaws.com/s3.myslabs.com/media/LYNADJL_1610488032_front.jpeg', 'https://s3.amazonaws.com/s3.myslabs.com/media/LYNADJL_1610488032_back.jpeg']"
78,['2000 Finest Brian Urlacher Rookie Chicago Bears #151 PSA 9 MINT'],['$32'],Sold,"['Jan', '12,', '2021']","['https://s3.amazonaws.com/s3.myslabs.com/media/UPJWPTW_1610487116_front.jpeg', 'https://s3.amazonaws.com/s3.myslabs.com/media/UPJWPTW_1610487116_back.jpeg']"
79,['Ben Simmons '],['$82.5'],Sold,"['Jan', '14,', '2021']","['https://s3.amazonaws.com/s3.myslabs.com/media/IMYDGVR_1610479605_front.jpeg', 'https://s3.amazonaws.com/s3.myslabs.com/media/IMYDGVR_1610479605_back.jpeg']"
80,['Tiger Woods 2001 Upper Deck'],['$750'],Sold,"['Jan', '13,', '2021']","['https://s3.amazonaws.com/s3.myslabs.com/media/OSAHLDV_1610478211_front.jpeg', 'https://s3.amazonaws.com/s3.myslabs.com/media/OSAHLDV_1610478211_back.jpeg']"
81,['Juan Soto'],['$115'],Sold,"['Jan', '12,', '2021']","['https://s3.amazonaws.com/s3.myslabs.com/media/AYEMJFR_1610478164_front.jpeg', 'https://s3.amazonaws.com/s3.myslabs.com/media/AYEMJFR_1610478164_back.jpeg']"
82,['2013 Topps Chrome Aaron Rodgers red refractor #6/25 PSA 10'],['$800'],Sold,"['Jan', '12,', '2021']","['https://s3.amazonaws.com/s3.myslabs.com/media/JCFHPCX_1610472580_front.jpeg', 'https://s3.amazonaws.com/s3.myslabs.com/media/JCFHPCX_1610472580_back.jpeg']"
83,['2009 Bowman Chrome Aaron Rodgers orange refractor #20/25 PSA 10'],['$300'],Sold,"['Jan', '12,', '2021']","['https://s3.amazonaws.com/s3.myslabs.com/media/NMICVDP_1610472235_front.jpeg', 'https://s3.amazonaws.com/s3.myslabs.com/media/NMICVDP_1610472235_back.jpeg']"
84,['2019 Elite Status Aaron Rodgers #1/12 PSA 6.5'],['$35'],Sold,"['Jan', '12,', '2021']","['https://s3.amazonaws.com/s3.myslabs.com/media/IIKLGLY_1610469769_front.jpeg', 'https://s3.amazonaws.com/s3.myslabs.com/media/IIKLGLY_1610469769_back.jpeg']"
85,['Patrick Mahomes 2017 Prizm #269 Prizm PSA 9'],"['$1,875']",Sold,"['Jan', '13,', '2021']","['https://s3.amazonaws.com/s3.myslabs.com/media/ONVUDEW_1610469377_front.jpeg', 'https://s3.amazonaws.com/s3.myslabs.com/media/ONVUDEW_1610469377_back.jpeg']"
86,['3x 2019-2020 Panini NBA Hoops PREMIUM STOCK 80 MEGA BOX- Red Cracked Ice. Ships 1.14'],['$465'],Sold,"['Jan', '12,', '2021']",[]
87,['Eloy Jimenez Chicago White Sox'],['$100'],Sold,"['Jan', '12,', '2021']","['https://s3.amazonaws.com/s3.myslabs.com/media/JDGGOPB_1610465398_front.jpeg', 'https://s3.amazonaws.com/s3.myslabs.com/media/JDGGOPB_1610465398_back.jpeg']"
88,['2016 Optic Rob Gronkowski'],['$45'],Sold,"['Jan', '12,', '2021']","['https://s3.amazonaws.com/s3.myslabs.com/media/HIGTULJ_1610439314_front.jpeg', 'https://s3.amazonaws.com/s3.myslabs.com/media/HIGTULJ_1610439314_back.jpeg']"
